Channel,Minimum,Maximum,Mean,RMS,Variance,Standard Deviation,Power,Peak,Peak-to-Peak,Crest Factor,Skew,Kurtosis,Max_F,Sum_F,Mean_F,Variance_F,Peak_F,Skew_F,Kurtosis_F
P4,-6.935119999999999,13.0522,6.432072152966839e-07,1.326993103435827,1.7609106965658405,1.3269931034356737,1.760910696566248,13.0522,19.987319999999997,9.835921502685638,0.2487502775282695,2.78816449753217,2136.7259284752945,176091.0696566248,1.760910696566248,453.99877967546456,2136.7259284752945,41.862734962270544,2849.635219567256
T5,-5.63911,6.40136,5.337177895258094e-07,0.8707350702593928,0.7581795625793454,0.8707350702592295,0.7581795625796297,6.40136,12.04047,7.351673567131079,0.21809332870954476,2.010156066643603,397.7737026970999,75817.95625796297,0.7581795625796297,28.149020109244766,397.7737026970999,30.624459583497803,1391.617015619686
T6,-8.372720000000001,13.4467,5.597342301784636e-06,1.468705644467615,2.157096270059736,1.4687056444569606,2.1570962700910323,13.4467,21.81942,9.155476490916762,0.5653594129253264,3.9542653566469523,5136.177074670419,215709.62700910328,2.1570962700910328,894.7911004903974,5136.177074670419,109.04435904876429,17561.84030029227
PO3,-7.089360000000001,9.255040000000001,2.3758574801149736e-06,1.1470813028709057,1.3157955153903462,1.147081302868435,1.3157955153960146,9.255040000000001,16.3444,8.068338292008216,0.36516000022299583,2.3764236694895997,1389.1051773100862,131579.5515396014,1.3157955153960141,165.39187040933206,1389.1051773100862,49.26636976378968,3876.6396888502113
PO4,-6.94977,9.25895,-4.672167983296731e-06,1.1830227957225012,1.3995429351772417,1.1830227957132702,1.399542935199083,9.25895,16.20872,7.826518671895355,0.41788411932860225,2.580249504864269,2056.3144423634894,139954.2935199083,1.399542935199083,279.69590954840044,2056.3144423634894,55.11547253326003,5174.4221308330025
Oz,-7.199119999999999,7.02267,4.28120786194441e-06,1.0213066627908443,1.043067299442638,1.0213066627818688,1.0430672994609713,7.199119999999999,14.221789999999999,7.048930808232986,0.052196214625142595,2.007340254846751,690.7889462098279,104306.72994609711,1.043067299460971,39.88175934935737,690.7889462098279,46.15455549311267,3610.036945636964
O1,-5.932450000000002,6.39335,-6.987940500673772e-07,0.991239886775773,0.982556513134775,0.9912398867755348,0.9825565131352473,6.39335,12.325800000000001,6.449851428795692,0.08190076342537463,1.0422889985230803,672.2519427050618,98255.65131352472,0.9825565131352473,24.66358340962831,672.2519427050618,63.80408515265315,7180.7760543246395
O2,-6.6853,12.7024,9.048323186773928e-06,1.0440117738307182,1.0899605838152926,1.044011773791509,1.0899605838971629,12.7024,19.387700000000002,12.166912594665467,0.5201170923500341,4.642386281481466,1087.634072474936,108996.05838971627,1.0899605838971627,89.22732880263742,1087.634072474936,48.339470555884674,4179.368300451696
0,-27.731210708618164,15.04196548461914,3.58581542236891e-09,2.9459831714630127,8.678163528442383,2.9458723068237305,8.678816795349121,27.731210708618164,42.77317810058594,9.413227807016458,-2.8750805715562042,17.75983375136807,13394.12992,867881.7507303415,8.678817507303416,13319.588602779797,13394.12992,50.21094344322423,4486.013254980164
1,-28.57568359375,16.85562515258789,4.3487546896869844e-09,3.184777021408081,10.142254829406738,3.1846907138824463,10.142804145812988,28.57568359375,45.43130874633789,8.972585333812749,-2.832793299004545,18.123958877890402,9306.71936,1014280.465401751,10.14280465401751,15266.039118033004,9306.71936,30.94496214990356,1524.2300656255086
